Date,Open,High,Low,Close,Adj Close,Volume
2020-08-26,26.995001,27.430000,26.955000,27.430000,27.430000,13
2020-08-27,26.809999,27.165001,26.809999,27.010000,27.010000,131415
2020-08-28,27.120001,27.820000,26.889999,27.610001,27.610001,9048
2020-08-31,27.725000,28.485001,27.719999,28.437000,28.437000,657
2020-09-01,28.350000,29.049999,27.860001,28.486000,28.486000,494
2020-09-02,28.165001,28.270000,27.225000,27.249001,27.249001,490
2020-09-03,27.555000,27.555000,26.490000,26.735001,26.735001,487
2020-09-04,26.799999,26.950001,26.395000,26.576000,26.576000,614
2020-09-08,26.920000,27.070000,26.004999,26.864000,26.864000,545
2020-09-09,26.580000,27.145000,26.580000,26.955000,26.955000,238
2020-09-10,27.163000,27.163000,27.163000,27.163000,27.163000,66
2020-09-11,27.090000,27.094999,26.739000,26.739000,26.739000,198
2020-09-14,26.910000,27.350000,26.910000,27.229000,27.229000,147
2020-09-15,27.525000,27.545000,27.170000,27.346001,27.346001,80
2020-09-16,27.320000,27.485001,27.100000,27.355000,27.355000,233
2020-09-17,27.235001,27.235001,26.520000,26.985001,26.985001,343
2020-09-18,27.285000,27.309999,27.028000,27.028000,27.028000,160
2020-09-21,26.330000,26.330000,24.075001,24.299000,24.299000,148
2020-09-22,24.459999,24.570000,24.160000,24.441999,24.441999,156
2020-09-23,24.000000,24.000000,23.000000,23.014000,23.014000,85
2020-09-24,22.000000,23.250000,21.959999,23.118000,23.118000,43
2020-09-25,22.750000,23.017000,22.730000,23.017000,23.017000,21
2020-09-28,22.740000,23.528000,22.695000,23.528000,23.528000,348
2020-09-29,23.745001,24.440001,23.650000,24.379999,24.379999,397
2020-09-30,24.360001,24.360001,23.355000,23.433001,23.433001,72
2020-10-01,23.395000,24.193001,23.395000,24.193001,24.193001,214
2020-10-02,23.735001,24.150000,23.580000,23.971001,23.971001,101
2020-10-05,23.834999,24.545000,23.785000,24.502001,24.502001,206
2020-10-06,24.469999,24.469999,23.870001,23.870001,23.870001,17
2020-10-07,23.495001,23.910000,23.455000,23.848000,23.848000,6
2020-10-08,24.070000,24.174999,23.837000,23.837000,23.837000,19
